iter	Passed	Remaining
0	0	705
1	1	650
2	1	630
3	2	589
4	2	581
5	3	586
6	4	576
7	4	585
8	5	576
9	5	586
10	6	594
11	7	630
12	8	653
13	9	668
14	10	664
15	10	656
16	11	653
17	11	648
18	12	645
19	13	651
20	13	647
21	14	647
22	15	642
23	15	640
24	16	636
25	16	630
26	17	624
27	17	621
28	18	620
29	19	619
30	19	614
31	20	615
32	21	633
33	22	635
34	23	637
35	24	646
36	24	641
37	25	639
38	25	638
39	26	640
40	27	641
41	28	639
42	28	634
43	29	631
44	29	627
45	30	626
46	30	624
47	31	624
48	32	625
49	32	623
50	33	621
51	34	620
52	34	617
53	35	616
54	35	616
55	36	622
56	37	623
57	38	625
58	39	631
59	40	631
60	40	628
61	41	625
62	41	623
63	42	620
64	43	620
65	43	619
66	44	617
67	45	616
68	45	616
69	46	614
70	46	612
71	47	610
72	47	608
73	48	607
74	49	608
75	49	607
76	50	605
77	52	621
78	54	630
79	54	628
80	55	628
81	55	626
82	56	621
83	56	618
84	57	618
85	58	620
86	59	619
87	59	618
88	60	616
89	60	616
90	61	614
91	62	612
92	62	612
93	63	610
94	64	610
95	64	609
96	65	607
97	66	607
98	67	610
99	67	611
100	68	613
101	69	612
102	70	610
103	70	608
104	71	606
105	71	604
106	72	603
107	73	604
108	73	602
109	74	600
110	74	599
111	75	598
112	76	596
113	76	595
114	77	594
115	77	592
116	78	590
117	78	589
118	79	588
119	80	587
120	80	585
121	82	591
122	82	590
123	83	591
124	84	591
125	84	589
126	85	586
127	86	586
128	86	585
129	87	584
130	87	582
131	88	582
132	89	581
133	89	580
134	90	579
135	91	579
136	91	578
137	92	577
138	93	577
139	94	577
140	94	578
141	95	576
142	96	575
143	96	575
144	97	576
145	98	577
146	99	577
147	99	575
148	100	574
149	101	573
150	101	572
151	102	571
152	103	572
153	104	571
154	104	569
155	105	568
156	105	567
157	106	566
158	106	565
159	107	564
160	107	562
161	108	561
162	109	561
163	109	560
164	110	559
165	111	561
166	112	560
167	113	560
168	114	560
169	114	559
170	115	558
171	115	557
172	116	556
173	116	555
174	117	553
175	118	552
176	118	551
177	119	550
178	119	549
179	120	547
180	120	546
181	121	545
182	121	543
183	122	542
184	122	541
185	123	540
186	124	539
187	124	538
188	125	537
189	125	535
190	126	534
191	126	534
192	127	533
193	128	533
194	128	532
195	129	531
196	130	530
197	130	529
198	131	527
199	131	527
200	132	526
201	132	525
202	133	524
203	134	523
204	134	522
205	135	520
206	135	519
207	136	518
208	136	517
209	137	516
210	137	515
211	138	514
212	138	513
213	139	512
214	139	510
215	140	509
216	140	508
217	141	508
218	142	507
219	142	506
220	143	506
221	144	506
222	145	505
223	145	505
224	146	503
225	146	503
226	147	502
227	147	501
228	148	500
229	149	498
230	149	498
231	150	497
232	150	496
233	151	495
234	151	494
235	152	493
236	152	492
237	153	491
238	153	490
239	154	489
240	155	488
241	155	487
242	156	486
243	156	485
244	157	484
245	158	485
246	159	484
247	159	483
248	160	483
249	160	482
250	161	481
251	161	480
252	162	479
253	163	478
254	163	477
255	164	477
256	164	476
257	165	475
258	165	474
259	166	473
260	166	472
261	167	471
262	168	470
263	168	469
264	169	468
265	169	468
266	170	467
267	170	466
268	171	465
269	172	465
270	172	464
271	173	465
272	174	464
273	174	463
274	175	462
275	176	461
276	176	461
277	177	460
278	177	459
279	178	458
280	178	457
281	179	456
282	179	455
283	180	454
284	180	454
285	181	453
286	182	452
287	182	451
288	183	450
289	183	449
290	184	448
291	184	448
292	185	447
293	185	446
294	186	445
295	187	444
296	187	444
297	188	444
298	189	444
299	190	444
300	190	443
301	191	442
302	191	441
303	192	440
304	193	439
305	193	439
306	194	438
307	194	437
308	195	436
309	195	435
310	196	434
311	196	433
312	197	433
313	197	432
314	198	431
315	198	430
316	199	429
317	200	429
318	200	428
319	201	428
320	202	427
321	202	427
322	203	426
323	204	426
324	204	425
325	205	424
326	206	424
327	206	423
328	207	422
329	207	421
330	208	421
331	208	420
332	209	419
333	209	418
334	210	417
335	211	417
336	211	416
337	212	415
338	212	414
339	213	413
340	213	412
341	214	412
342	214	411
343	215	410
344	215	409
345	216	409
346	217	408
347	218	408
348	219	408
349	219	408
350	220	407
351	221	406
352	221	406
353	222	405
354	222	404
355	223	403
356	223	403
357	224	402
358	224	401
359	225	400
360	226	400
361	226	399
362	227	398
363	227	397
364	228	397
365	228	396
366	229	395
367	229	394
368	230	394
369	230	393
370	231	392
371	232	391
372	232	391
373	233	390
374	234	390
375	235	390
376	235	389
377	236	388
378	236	387
379	237	387
380	237	386
381	238	385
382	239	385
383	239	384
384	240	383
385	240	382
386	241	382
387	241	381
388	242	380
389	242	379
390	243	378
391	243	378
392	244	377
393	244	376
394	245	375
395	246	375
396	246	374
397	247	373
398	247	373
399	248	372
400	249	372
401	249	371
402	250	370
403	250	370
404	251	369
405	252	368
406	252	367
407	253	367
408	253	366
409	254	366
410	254	365
411	255	364
412	256	363
413	256	363
414	256	362
415	257	361
416	258	360
417	258	359
418	259	359
419	259	358
420	260	357
421	260	357
422	261	356
423	261	355
424	262	355
425	263	355
426	264	354
427	265	354
428	265	353
429	266	352
430	266	352
431	267	351
432	267	350
433	268	350
434	268	349
435	269	348
436	269	347
437	270	347
438	271	346
439	271	345
440	272	344
441	272	344
442	273	343
443	273	342
444	274	341
445	274	341
446	275	340
447	275	339
448	276	339
449	276	338
450	277	337
451	278	337
452	279	337
453	279	336
454	280	335
455	280	335
456	281	334
457	282	333
458	282	333
459	283	332
460	283	331
461	284	330
462	284	330
463	285	329
464	285	328
465	286	328
466	286	327
467	287	326
468	287	326
469	288	325
470	289	324
471	289	324
472	290	323
473	290	322
474	291	321
475	291	321
476	292	320
477	293	319
478	293	319
479	294	318
480	294	318
481	295	317
482	296	316
483	296	316
484	297	315
485	299	316
486	300	316
487	300	315
488	301	314
489	301	314
490	302	313
491	303	313
492	304	312
493	304	312
494	305	311
495	306	311
496	308	312
497	310	313
498	312	313
499	312	312
500	313	312
501	314	311
502	315	311
503	315	310
504	317	310
505	317	310
506	318	309
507	319	309
508	319	308
509	320	307
510	321	307
511	321	306
512	322	306
513	323	305
514	323	305
515	324	304
516	325	304
517	326	303
518	327	303
519	327	302
520	328	301
521	329	301
522	329	300
523	330	300
524	330	299
525	331	298
526	332	298
527	332	297
528	333	296
529	333	295
530	334	295
531	334	294
532	335	293
533	336	293
534	336	292
535	337	291
536	337	291
537	338	290
538	338	289
539	339	289
540	340	288
541	341	288
542	341	287
543	342	286
544	342	286
545	343	285
546	344	284
547	344	284
548	345	283
549	345	282
550	346	282
551	346	281
552	347	280
553	347	280
554	348	279
555	349	278
556	349	278
557	350	277
558	350	276
559	351	275
560	351	275
561	352	274
562	353	274
563	353	273
564	354	273
565	355	272
566	356	272
567	356	271
568	357	270
569	358	270
570	358	269
571	359	268
572	359	267
573	360	267
574	360	266
575	361	265
576	361	265
577	362	264
578	362	263
579	363	263
580	364	262
581	364	261
582	365	261
583	365	260
584	366	259
585	366	259
